w,gap
0.21,-1.45
0.15,-1.09
0.00,4.56
0.24,-0.64
0.05,3.84
0.12,4.07
0.00,2.68
0.00,1.83
0.00,6.17
0.02,-0.53
0.00,13.32
0.16,1.68
0.42,-0.86
0.00,0.98
0.00,12.44
0.02,6.68
0.05,3.37
0.58,0.64
0.01,2.77
0.53,-0.62
0.14,-1.64
0.21,-1.02
0.20,-1.60
0.02,4.66
0.02,4.46
0.02,5.37
0.08,7.99
0.15,1.97
0.02,0.64
0.01,6.70
0.38,-0.96
0.00,9.20
0.34,-0.96
0.02,1.76
0.46,-0.76
0.10,4.65
0.09,1.88
0.02,5.19
0.00,7.84
0.07,1.52
0.12,-1.24
0.12,2.77
0.20,-1.03
0.17,-0.56
0.45,-0.80
0.13,-2.03
0.04,5.71
0.26,-0.68
0.09,-0.68
0.16,-0.93
0.03,2.08
0.24,0.89
0.17,0.57
0.00,5.68
0.16,-1.85
0.37,-0.94
0.04,4.87
0.03,0.57
0.36,-0.52
0.27,-1.16
0.04,3.75
0.00,1.19
0.03,1.68
0.05,3.69
0.26,0.55
0.00,1.30
0.22,-1.40
0.11,-2.14
0.79,0.63
0.05,3.27
0.49,-0.61
0.00,2.36
0.00,2.54
0.04,0.60
0.07,0.89
0.00,2.62
0.19,-1.52
0.14,4.94
0.00,9.29
0.18,-1.48
0.00,7.09
0.00,3.13
0.00,1.56
0.00,7.09
0.00,3.34
0.33,-1.09
0.20,-1.55
0.22,-1.51
0.01,1.03
0.00,1.30
0.56,-0.53
0.90,0.66
0.15,-1.33
0.41,-0.84
0.08,1.12
0.31,-0.52
0.18,-1.30
0.30,-1.10
0.04,3.83
0.34,-0.65
0.13,4.32
0.15,-1.25
0.07,3.23
0.51,-0.54
0.03,2.85
0.12,0.92
0.04,5.99
0.39,-0.90
0.01,1.50
0.54,-0.59
0.00,0.64
0.01,2.95
0.00,3.17
0.00,4.95
0.22,-0.89
0.00,1.39
0.54,-0.57
0.05,1.20
0.13,0.81
0.04,6.39
0.00,0.86
0.03,7.65
0.02,0.76
0.01,5.91
0.02,5.96
0.48,-0.69
0.00,1.98
0.11,1.71
0.55,-0.59
0.00,2.17
0.14,-1.92
0.05,3.03
0.23,-1.08
0.07,3.72
0.00,5.26
0.00,6.97
0.40,-0.57
0.02,4.53
0.02,1.98
0.07,5.51
0.00,5.73
0.03,4.40
0.21,-1.25
0.25,-1.28
0.02,12.45
0.02,5.59
0.00,3.55
0.42,-0.86
0.06,0.74
0.02,7.93
0.00,1.50
0.05,3.75
0.47,-0.76
0.16,2.98
0.53,-0.62
0.05,3.71
0.05,1.80
0.08,6.55
0.04,2.09
0.35,-1.03
0.05,10.56
0.01,2.60
0.56,-0.56
0.15,5.42
0.26,-1.15
0.00,2.00
0.00,4.29
0.16,2.52
0.16,-1.61
0.54,1.04
0.05,2.53
0.02,4.41
0.03,4.09
0.19,-0.84
0.00,14.48
0.12,2.09
0.57,-0.55
0.03,4.88
0.00,6.57
0.15,1.33
0.03,2.68
0.02,3.78
0.19,-1.47
0.02,16.91
0.34,-0.54
0.07,-2.30
0.29,-1.15
0.00,6.38
0.01,1.59
0.00,10.17
0.00,8.54
0.02,1.18
0.02,0.69
0.14,0.59
0.05,3.44
0.30,-0.97
0.03,4.53
0.41,-0.90
0.44,-0.83
0.02,1.32
0.00,1.02
0.04,6.09
0.00,7.56
0.25,-1.25
0.00,0.75
0.02,3.96
0.05,3.64
0.00,7.23
0.04,1.01
0.02,5.59
0.04,4.44
0.07,0.69
0.17,-1.62
0.01,-0.84
0.07,1.97
0.04,2.35
0.29,-1.23
0.05,9.70
0.09,5.42
0.00,7.77
0.23,0.93
0.51,-0.62
0.00,2.62
0.00,17.26
0.15,-1.66
0.42,-0.72
0.34,-1.01
0.19,-1.32
0.57,-0.52
0.09,2.16
0.17,0.52
0.00,6.68
0.46,-0.57
0.06,3.90
0.00,0.70
0.27,-1.05
0.54,-0.62
0.01,0.95
0.02,4.30
0.02,1.16
0.11,7.31
0.48,-0.69
0.14,1.45
0.23,-1.41
0.07,1.79
0.03,0.89
0.45,-0.56
0.00,3.03
0.02,4.51
0.00,3.56
0.11,-1.92
0.00,3.17
0.01,2.98
0.40,-0.88
0.05,4.27
0.04,1.77
0.00,1.50
0.30,1.22
0.15,0.63
0.10,-1.40
0.01,1.42
0.20,-1.47
0.04,4.79
0.03,5.62
0.06,5.82
0.17,-1.66
0.04,0.80
0.00,3.36
0.00,-1.16
0.04,5.29
0.01,6.89
0.11,0.73
0.00,5.25
0.25,-0.71
0.01,1.87
0.52,-0.55
0.46,-0.78
0.05,7.07
0.04,3.54
0.06,2.14
0.00,1.16
0.00,4.14
0.29,-0.62
0.27,-1.25
0.02,1.11
0.33,-1.09
0.22,-0.94
0.00,1.86
0.05,4.82
0.32,-0.76
0.03,5.84
0.22,-0.65
0.07,1.78
0.00,12.32
0.03,3.30
0.00,3.24
0.56,-0.57
0.11,1.38
0.29,-1.20
0.00,7.16
0.11,1.30
0.21,-1.47
0.16,7.38
0.18,-1.58
0.02,2.02
0.00,7.40
0.26,-0.80
0.05,4.03
0.04,3.52
0.47,-0.69
0.34,-0.58
0.01,1.67
0.00,5.41
0.04,0.99
0.25,-1.05
0.01,0.72
0.03,2.45
0.05,7.38
0.04,2.73
0.11,4.59
0.32,-1.10
0.05,3.95
0.00,5.38
0.05,6.34
0.00,2.08
0.23,-1.38
0.00,5.84
0.04,4.43
0.00,2.33
0.25,2.43
0.03,5.24
0.41,-0.68
0.00,1.16
0.04,4.03
0.08,1.62
0.04,3.28
0.55,0.53
0.06,4.66
0.28,-0.99
0.12,7.02
0.03,2.36
0.29,-1.15
0.00,1.28
0.01,11.67
0.46,-0.78
0.34,-1.07
0.39,-0.79
0.17,-1.03
0.09,0.81
0.08,3.69
0.02,6.08
0.05,3.53
0.00,1.70
0.28,-1.11
0.04,0.85
0.18,-0.51
0.04,3.46
0.13,3.89
0.00,5.57
0.00,8.67
0.01,6.51
0.11,0.76
0.00,3.13
0.01,2.10
0.05,1.88
0.18,-1.67
0.27,0.63
0.11,3.12
0.00,6.03
0.03,3.43
0.37,-0.63
0.09,0.71
0.30,-0.94
0.05,4.32
0.00,0.95
0.13,8.65
0.02,1.13
0.95,0.53
0.00,4.73
0.54,-0.51
0.00,1.89
0.16,1.70
0.08,2.22
0.01,0.70
0.01,9.65
0.47,-0.62
0.03,3.43
0.05,3.83
0.02,3.64
0.36,-0.98
0.16,1.06
0.03,1.88
0.03,3.94
0.52,-0.66
0.18,3.25
0.00,1.24
0.01,16.06
0.10,4.41
0.00,3.39
0.02,0.53
0.65,0.59
0.04,4.95
0.56,-0.55
0.25,0.68
0.12,-2.04
0.05,2.09
0.00,6.06
0.06,9.00
0.41,-0.85
0.42,-0.86
0.00,1.39
0.13,2.36
0.07,2.00
0.02,8.62
0.00,4.16
0.05,5.45
0.06,1.74
0.03,1.09
0.00,7.48
0.12,-1.31
0.09,4.70
0.03,1.97
0.17,0.62
0.03,3.42
0.61,-0.50
0.22,-1.27
0.03,3.79
0.02,0.70
0.33,-0.81
0.02,1.02
0.07,1.20
0.02,9.21
0.29,-0.52
0.02,1.14
0.04,1.91
0.11,-2.01
0.03,4.77
0.12,1.48
0.34,-0.62
0.04,2.86
0.04,1.96
0.03,0.88
0.00,4.91
0.00,6.12
0.25,-1.33
0.28,-0.66
0.27,-0.93
0.03,1.67
0.13,-1.64
0.03,1.60
0.03,4.18
0.48,-0.61
0.32,-1.09
0.24,-1.40
0.21,-0.58
0.07,4.45
0.02,7.66
0.13,2.98
0.46,-0.74
0.00,7.57
0.05,3.58
0.13,1.71
0.00,2.27
0.16,-1.72
0.40,-0.81
0.03,3.50
0.00,9.08
0.38,-0.83
0.12,0.55
0.27,-1.30
0.03,4.90
0.02,0.72
0.00,5.30
0.25,-1.30
0.08,-1.34
0.57,-0.52
0.04,4.23
0.00,10.61
0.07,4.18
0.00,4.10
0.06,1.15
0.27,0.80
0.13,-1.95
0.13,0.92
0.38,-0.59
0.00,0.68
0.38,-0.75
0.04,5.03
0.02,8.24
0.04,3.46
0.37,-1.00
0.06,0.81
0.58,-0.55
0.00,6.61
0.07,7.70
0.51,-0.62
0.02,1.09
0.36,-0.98
0.26,-1.22
0.48,-0.60
0.07,4.38
0.25,0.60
0.11,0.52
0.00,2.73
0.07,3.77
0.25,-0.76
0.20,-1.27
0.11,8.74
0.00,4.52
0.01,2.34
0.40,1.22
0.08,1.22
0.00,3.46
0.01,3.82
0.54,-0.56
0.13,-0.70
0.55,-0.58
0.03,4.41
0.00,3.62
0.00,7.50
0.40,-0.92
0.01,1.28
0.48,-0.62
0.04,3.99
0.02,12.92
0.07,1.42
0.07,5.00
0.00,1.43
0.15,-1.28
0.01,0.99
0.12,-1.24
0.00,2.00
0.28,-1.15
0.18,2.35
0.10,1.62
0.00,2.99
0.00,10.80
0.16,3.92
0.07,1.59
0.03,5.45
0.12,3.09
0.00,4.68
0.09,7.49
0.02,3.27
0.00,0.86
0.27,-1.28
0.00,2.26
0.00,-2.30
0.04,4.26
0.05,5.86
0.02,3.43
0.10,2.18
0.34,-0.61
0.06,5.02
0.02,4.42
